Date,Population_Data,Regression_Data,LSTM_Data
1900-01-01,5000.0,,
1900-02-01,5012.0,,
1900-03-01,5100.0,,
1900-04-01,5000.0,,
1900-05-01,4945.0,,
1900-06-01,4997.0,,
1900-07-01,4901.0,,
1900-08-01,5066.0,,
1900-09-01,5043.0,,
1900-10-01,4884.0,,
1900-11-01,5029.0,,
1900-12-01,5024.0,,
1901-01-01,5200.0,,
1901-02-01,4955.0,,
1901-03-01,5071.0,,
1901-04-01,5166.0,,
1901-05-01,4842.0,,
1901-06-01,5016.0,,
1901-07-01,5002.0,,
1901-08-01,4982.0,,
1901-09-01,4893.0,,
1901-10-01,5018.0,,
1901-11-01,5011.0,,
1901-12-01,4730.0,,
1902-01-01,5038.0,,
1902-02-01,4830.0,,
1902-03-01,4796.0,,
1902-04-01,5140.0,,
1902-05-01,4894.0,,
1902-06-01,5105.0,,
1902-07-01,4990.0,,
1902-08-01,5070.0,,
1902-09-01,4948.0,,
1902-10-01,4846.0,,
1902-11-01,4817.0,,
1902-12-01,5005.0,,
1903-01-01,4935.0,,
1903-02-01,4997.0,,
1903-03-01,4897.0,,
1903-04-01,4681.0,,
1903-05-01,4858.0,,
1903-06-01,4775.0,,
1903-07-01,4823.0,,
1903-08-01,4984.0,,
1903-09-01,4929.0,,
1903-10-01,4999.0,,
1903-11-01,5005.0,,
1903-12-01,4806.0,,
1904-01-01,4844.0,,
1904-02-01,4948.0,,
1904-03-01,4995.0,,
1904-04-01,4876.0,,
1904-05-01,5045.0,,
1904-06-01,4884.0,,
1904-07-01,4841.0,,
1904-08-01,5031.0,,
1904-09-01,5091.0,,
1904-10-01,4743.0,,
1904-11-01,4858.0,,
1904-12-01,4904.0,,
1905-01-01,4769.0,,
1905-02-01,5023.0,,
1905-03-01,4925.0,,
1905-04-01,4928.0,,
1905-05-01,4764.0,,
1905-06-01,4761.0,,
1905-07-01,4933.0,,
1905-08-01,4861.0,,
1905-09-01,4806.0,,
1905-10-01,4945.0,,
1905-11-01,5043.0,,
1905-12-01,4866.0,,
1906-01-01,4850.0,,
1906-02-01,4922.0,,
1906-03-01,5080.0,,
1906-04-01,4914.0,,
1906-05-01,4871.0,,
1906-06-01,4999.0,,
1906-07-01,4884.0,,
1906-08-01,5004.0,,
1906-09-01,5040.0,,
1906-10-01,4883.0,,
1906-11-01,4787.0,,
1906-12-01,4881.0,,
1907-01-01,4868.0,,
1907-02-01,4893.0,,
1907-03-01,4965.0,,
1907-04-01,4833.0,,
1907-05-01,4852.0,,
1907-06-01,4829.0,,
1907-07-01,4970.0,,
1907-08-01,4858.0,,
1907-09-01,4904.0,,
1907-10-01,4962.0,,
1907-11-01,4830.0,,
1907-12-01,5062.0,,
1908-01-01,4921.0,,
1908-02-01,4814.0,,
1908-03-01,5015.0,,
1908-04-01,4931.0,,
1908-05-01,4836.0,,
1908-06-01,4845.0,,
1908-07-01,4843.0,,
1908-08-01,4930.0,,
1908-09-01,4937.0,,
1908-10-01,4815.0,,
1908-11-01,4996.0,,
1908-12-01,4827.0,,
1909-01-01,4840.0,,
1909-02-01,4909.0,,
1909-03-01,4726.0,,
1909-04-01,4861.0,,
1909-05-01,4808.0,,
1909-06-01,4765.0,,
1909-07-01,4973.0,,
1909-08-01,4960.0,,
1909-09-01,4975.0,,
1909-10-01,4840.0,,
1909-11-01,4866.0,,
1909-12-01,4683.0,,
1910-01-01,5085.0,,
1910-02-01,4752.0,,
1910-03-01,4978.0,,
1910-04-01,4944.0,,
1910-05-01,4816.0,,
1910-06-01,4811.0,,
1910-07-01,4853.0,,
